datasetID,handle,site,long,lat,state,pi,pre1.d,pre1,pre2,pre3,pre4,un1,un2,un3,un4,notes1,notes2,notes3,notes4
13060,ADELINE,Adeline,-91.194,45.302,wisconsin,R. Calcote,50 cm,16,9,4,7,,,1,1,It's where Ambrosia rises above background,big uncertantiy,tricky given early spike.   7 a possibility,"Or 9, 8 looks so weird."
12016,ALBRTLEA,Albert Lea Lake,-93.2894,43.6582,minnesota,"Cushing, Edward J.",70 cm,6,7,5,6,1,1,,,"It's where Ambrosia rises above background, it would be really useful to have had more downcore data in order to figure out what is presettlement baseline Ambrosia",,,
29,ALLIE,Lake Allie,-94.5675,44.8138,minnesota,"McAndrews, John H.",60 cm,7,6,5,5,,,,,It's just before Ambrosia rises above background,,,
205,ANDRUSLK,Andrus Lake,-85.040278,46.7,michigan:north,"Shane, Linda C. K.",12.25 cm,8,8,9,9,,1,,1,It's just before Ambrosia rises above background,big UC!,possibly 8,
223,BADMED,Bad Medicine Lake,-95.383333,47.133333,minnesota,"McAndrews, John H.",20 cm,3,3,3,3,1,1,,,"It's just before Ambrosia rises above background, low resolution, difficult",,Only 5 samples. Not confident.,
241,BBASS,Black Bass Lake,-93.703889,46.128056,minnesota,"McAndrews, John H.",10 cm,2,5,2,2,,,,,It's just before Ambrosia rises above background,,,
249,BECKMAN,Beckman Lake,-93.183333,45.425,minnesota,"Swain, Patricia C.",97 cm,5,-1,-1,4,,,1,,It's just before Ambrosia rises above background,,Can't tell,
3062,BECKMNBG,Beckman Lake,-93.183333,45.425,minnesota,"Swain, Patricia C.",35 cm,8,8,8,9,,,,,"afterwards sharp Ambrosia rise, decline of Pinus",,,
272,BIGJOHN,Big John Pond,-94.966667,47.558333,minnesota,"Almendinger, John C.",20 cm,3,4,3,4,,,1,,It's just before Ambrosia rises above background,,a bit iffy,
275,BILLYS,Billy's Lake,-94.583333,46.283333,minnesota,"Jacobson, George L., Jr.",220 cm,9,8,8,9,,,,,It's just before Ambrosia rises above background,,,
280,BLANDIN,Blandin Pond,-93.666667,47.133333,minnesota,"Cushing, Edward J.",41 cm,3,3,3,3,,1,,,"afterwards Ambrosia rise, decline of Pinus",high UC,,
10973,BLOMFORD,Blomford Lake,-93.157,45.496,minnesota,"Cushing, Edward J.",40 cm,7,7,4,7,,,,,It's just before Ambrosia rises above background,,,
287,BLUMOUND,Blue Mounds Creek,-89.866667,43.083333,wisconsin,"Davis, Anthony M.",41 cm,4,-1,2,2,1,1,1,1,"This one is very difficult, needed more downcore samples, not really sure",,Only 4 samples.  Not confident.,This core is not very good for assessing presett
296,BOBLAKE,Bob Lake,-92.614722,46.633611,minnesota,"McAndrews, John H.",20 cm,3,3,3,3,,,,,It's just before Ambrosia rises above background,,,
298,BOGD,Bog D,-95.166667,47.183333,minnesota,"McAndrews, John H.",100 cm,9,8,6,7,1,1,1,,"It's just before Ambrosia rises above background, low resolution, difficult","7 or 8, AED assigned as 8 because that's more likely to  be presett",Tricky one.  Rise in Ambrosia is very gradual.  Pegged to peak in Pinus,
305,BOSSUOT,Bossuot Lake,-93.734167,44.296111,minnesota,"McAndrews, John H.",70 cm,8,7,5,7,,,1,,It's just before Ambrosia rises above background,,Good case for  anywhere between 4 and  8,
313,BROWNLK,Brown Lake (US:Wisconsin),-89.483333,45.783333,wisconsin,"Shane, Linda C. K.",14.2 cm,9,6,8,9,,,,,It's just before Ambrosia rises above background,,,
314,BROWNSBY,"Brown's Bay, Lake Minnetonka",-93.55,44.966667,minnesota,"Shane, Linda C. K.",59.5 cm,8,8,8,8,,,,,afterwards sharp Ambrosia rise,,high confidence,
325,BURNTSDE,Burntside Lake,-91.994722,47.924167,minnesota,"Wright, Herbert E., Jr.",19 cm,6,8,6,7,,1,,,It's just before Ambrosia rises above background,"7 or 8, AED assigned as 8 because that's more likely to  be presett",subtle,
332,CAMP11LK,Camp 11 Lake,-88.016667,46.666667,michigan:north,"Brubaker, Linda B.",10 cm,2,2,2,3,,,,,Low sedimentation rate typical of area,,,
