dataset_id,name,handle,thick
15487,Cowden Lake,COWDEN,15
1793,Nels Lake,NELSLK,5
249,Beckman Lake,BECKMAN,10
3062,Beckman Lake,BECKMNBG,5
15660,Buck Lake,BUCKMI,20
325,Burntside Lake,BURNTSDE,5
332,Camp 11 Lake,CAMP11LK,20
369,Chippewa Bog,CHIPPEWA,15
3081,Disterhaft Farm Bog,DISTRHFT,20
717,Dogfish Lake,DOGFISH,5
20311,Elk Lake,ELKGR-89,5
15302,Emrick Lake,EMRICK,20
860,Gass Lake,GASS,20
1004,Hansen Marsh,HANSEN,5
15989,Itasca Bison Kill Site,ITASCAMB,5
1564,Kylen Lake,KYLENLK,10
3473,Lake Mary,LAKEMARY,10
1633,Lily Lake (US:Minnesota),LILYLAKE,15
1665,Lost Lake,LOSTLAKE,5
12014,Lybeck Lake,LYBECK,15
19812,Madelia,MADELIA,5
15167,Elk Lake,MNCLEB,5
15168,Elk Lake,MNCLEC,5
15269,Elk Lake,MNCLEL,5
12011,Lake Rachel,MNDLLR,10
15270,LaSalle Lake,MNHBLS,5
1794,Nelson Pond,NELSONPD,5
13056,Oak Glen Lake,OAKGLEN,20
10977,Olson Lake,OLSONMN,15
3541,Pogonia Bog Pond,PGONIABG,5
2011,Radtke Lake,RADTKE,15
2290,Rossburg Bog,ROSSBURG,15
2318,Ryerse Lake,RYERSE,10
3781,Stewart's Dark Lake,STWDARK2,20
15316,Trout Lake Bog,TROUTLBG,20
3831,Vestaburg Bog,VESTABRG,5
3837,Weber Lake,WEBERLK,20
2956,Willow River Pond,WILWRDPD,5
2961,Wintergreen Lake,WINTERGR,20
3035,Wood Lake,WOODLAKE,15
3047,Yellow Dog Pond,YELLOWDG,10
12012,Ziebell Lake,ZIEBELL,15
272,Big John Pond,BIGJOHN,15
275,Billy's Lake,BILLYS,15
850,French Lake,FRENCH,20
1111,Hostage Lake,HOSTAGE,10
1581,Lake 27,LAKE27,5
1778,Mud Lake (US:Minnesota:Hubbard),MUDLKMN2,20
1831,Ondris Pond,ONDRISPD,5
1891,Peterson Slough,PETERSL,15
3558,Pogonia Bog Pond,POGONIA,20
2948,Wentzel's Pond,WENTZEL,5
14633,Camp Lake,CAMP,5
352,Cedar Bog,CEDARBLK,20
314,"Brown's Bay, Lake Minnetonka",BROWNSBY,5
14631,Amber Lake,AMBER,5
15403,Deep Lake,DEEPLAKE,20
1649,Lake of the Clouds,LKCLDSA,5
3482,Lake of the Clouds,LKCLDSH,5
3468,Lake Ann,LAKEANNF,20
13029,Sharkey Lake,SHARKEY,20
15489,Ferry Lake,FERRY01,15
13097,Glimmerglass Lake,GLIMML1,15
3131,Hell's Kitchen Lake,HELLSKIT,15
15492,Hicks Lake,HICKSMI,15
1110,Horseshoe Lake,HORSHOHA,20
1153,Irvin Lake,IRVIN,15
1447,Kellys Hollow,KELLHOL1,10
3452,Kellys Hollow,KELLHOL2,15
1448,Kellners Lake,KELLNERS,20
13032,Kimble Pond,KIMBLE,20
3455,Kirchner Marsh,KIRCHNR2,10
1548,Kotiranta Lake,KOTIRANT,20
1580,Lake Sixteen,LAKE16,20
15035,Lily Lake,LILYMI,15
17404,Lorraine Lake,LORRAINE,15
20512,Minden Bog,MINDEN,10
3492,Lake Minnie,MINNIEO,15
15252,Ozawindib Lake,MNCLSQ,20
15294,Long Lake,MNHNLL,5
15318,Wolsfeld Woods Marsh,MNHNWB,5
15511,Morrison Lake,MORRIMI,10
15032,Mud Lake,MUDLKMI,20
1786,Myrtle Lake,MYRTLE,20
14933,Nelson Lake,NELSONMI,10
17406,Penegor Lake,PENEGOR,5
3568,Rice Lake,RICEMNB,20
2309,Ruby Lake,RUBYLAKE,15
2314,Rutz Lake,RUTZLAKE,15
2355,Seidel,SEIDEL01,20
2586,Spirit Lake,SPIRIT,15
20397,South Rhody peatland,SRHODY,10
17993,Tower Lake,TOWER7,5
13051,West Olaf Lake,WESTOLAF,15
3029,Wolf Creek,WOLFCRK,20
3031,Wolsfeld Lake,WOLSFELD,20
