handle,datasetid,acc.mean.mod,acc.mean.old,acc.shape.mod,acc.shape.old,mem.strength,mem.mean,hiatus,thick,age.type,run,suitable,ndates,success,notes
ALLIE,29,3.02,15,0.53,0.9,2,0.5,NA,5,Calibrated radiocarbon years BP,FALSE,1,2,NA,Adjusted settlement horizon based on expert elicitation.
ALMORA1,30,3.02,15,0.53,0.9,2,0.5,NA,5,Radiocarbon years BP,FALSE,1,6,NA,.
HELLSKIT,3131,3.02,15,0.53,0.9,2,0.5,NA,5,Varve years BP,FALSE,NA,NA,NA,Annual laminations defined as an age model but ages and depths not aligned.
LAKEMARY,3473,3.02,15,0.53,0.9,2,0.5,NA,5,Radiocarbon years BP,FALSE,1,5,NA,Added settlement horizon based on expert elicitation.
ANDERSLK,202,3.02,15,0.53,0.9,2,0.5,NA,5,Radiocarbon years BP,FALSE,1,3,NA,.
ANDREE,204,3.02,15,0.53,0.9,2,0.5,NA,5,Radiocarbon years BP,FALSE,1,3,NA,.
ANDRUSC2,205,3.02,15,0.53,0.9,2,0.5,NA,5,Radiocarbon years BP,FALSE,1,12,NA,.
BADMED,223,3.02,15,0.53,0.9,2,0.5,NA,5,Calendar years BP,FALSE,1,2,NA,Adjusted settlement horizon based on expert elicitation.
BBASS,241,3.02,15,0.53,0.9,2,0.5,NA,5,Calendar years BP,FALSE,1,2,NA,Adjusted settlement horizon based on expert elicitation.
BECKMAN,249,3.02,15,0.53,0.9,2,0.5,NA,5,Calendar years BP,FALSE,1,2,NA,Adjusted settlement horizon based on expert elicitation.
BECKMNBG,3062,3.02,15,0.53,0.9,2,0.5,NA,5,Radiocarbon years BP,FALSE,1,3,NA,Added settlement horizon based on expert elicitation.
BIGJOHN,272,3.02,15,0.53,0.9,2,0.5,NA,5,Radiocarbon years BP,FALSE,1,5,NA,There are no default models defined for the best age type: Age models have same preparation date.  Model with highest chron ID was selected; Added settlement horizon based on expert elicitation.
BILLYS,275,3.02,15,0.53,0.9,2,0.5,NA,5,Calibrated radiocarbon years BP,FALSE,1,9,NA,There are no default models defined for the best age type: Default assigned to best age-type by precedence.; Added settlement horizon based on expert elicitation.
BLANDIN,280,3.02,15,0.53,0.9,2,0.5,NA,5,Calendar years BP,FALSE,1,2,NA,Adjusted settlement horizon based on expert elicitation.
BLKHOOF,282,3.02,15,0.53,0.9,2,0.5,NA,5,Radiocarbon years BP,FALSE,1,2,NA,.
BLUMOUND,287,3.02,15,0.53,0.9,2,0.5,NA,5,Calendar years BP,FALSE,1,6,NA,Adjusted settlement horizon based on expert elicitation.
BOBLAKE,296,3.02,15,0.53,0.9,2,0.5,NA,5,Calendar years BP,FALSE,1,2,NA,Adjusted settlement horizon based on expert elicitation.
BOGD,298,3.02,15,0.53,0.9,2,0.5,NA,5,Calendar years BP,FALSE,1,5,NA,Adjusted settlement horizon based on expert elicitation.
BOSSUOT,305,3.02,15,0.53,0.9,2,0.5,NA,5,Calendar years BP,FALSE,1,2,NA,Adjusted settlement horizon based on expert elicitation.
BROWNC12,313,3.02,15,0.53,0.9,2,0.5,NA,5,Radiocarbon years BP,FALSE,1,11,NA,.
BROWNSBY,314,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
BURNTSDE,325,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
CAMP11LK,332,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
CAMP12LK,333,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
CAMPBELL,334,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
CEDARBLK,352,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
CHIPPEWA,369,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
CINDY,382,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNGRCL,515,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
CRAZY,521,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
CUB2,532,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
DALTON,545,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
DARKLAKE,546,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
DEMONTLK,679,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
DENTONLK,681,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
DEVILSWI,684,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
DISTER59,700,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
DISTRHFT,3081,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
DOGFISH,717,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
DUNNIGAN,774,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
EASTTWIN,781,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
EGGERT,786,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
ERNSTPIT,806,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
FAITH,817,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
FARQUAR,822,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
FAWNLAKE,824,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
FOXPOND,846,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
FRAINSLK,847,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
